fullpolicy_nb,customerid,year,policyeffective_dt,accounting_month,insureditem_tp,policyratedstate_tp,ratedcounty_tp,zip,hazard_score,integratedcoverage_tp,propertycoveragesubtype_tp,construction_tp,roof_tp,dwellingsquarefeet_ct,dwellingstory_ct,home_age_yr,has_mortgage,ratedinsuredage_ct,meritpoint_ct,creditmodel_cd,agent_channel,directwrittenpremium_am,earnedpremium_am,tax_am,commission_expense_am,admin_expense_am,ppcvrglimit_am,grosslosspaio_am,claimcount_ct,earnedexposure_ct,writenexposure_ct,policyterm_ct,seasonal_in,multiproductdiscount_flag,delequencyflag,discountrate,new_existing_recurring_flag,netloss_paid_am,policy_renewed_flag,customertenure,incomebracket,coverageamount,deductible,customersatisfaction,complaintcount,paymentmethod,paymentdelaydays,marketingchannel,agentexperienceyears,propertyvalue,householdincome,creditscore,tenure_months,recency,frequency,monetary,average_order_value,claim_rate,complaint_rate,renewal_ratio,premium_efficiency,monetary_per_tenure,engagement_score,tenure_band,expected_claims,service_expense_am,pnc_expenses,retention_probability,discount_rate,projection_years,annual_profit,clv_formula_value,profit,clv,high_value_flag
500001,CUST000001,2021,2021-12-27,2022-06-30,Home,CA,D,90001,43.6,N,Standard,Frame,Shingle,1735,1,31,0,64,0,B,Independent,2839.62,2885.84,198.77,340.75,199.78,620198,0.0,0,1.022,1.0,12,0,1,0,0.0953,New,0.0,1,1,Middle,620198,1000,5,0,Auto Debit,0,Agent Referral,10,751263,64346,697,1,0,12,2839.62,236.635,0.0,0.0,0.08333333333333333,1.0,2839.62,2.1379063078037683,new,0.0,199.78,739.3,0.8343999999999999,0.0953,5,2100.3199999999997,4993.737503207391,2100.3199999999997,4993.737503207391,1
500002,CUST000002,2021,2021-11-13,2022-04-30,Home,WA,B,98501,29.56,Y,Basic,Mixed,Tile,1150,2,25,1,29,0,C,Independent,1133.44,1049.9,79.34,136.01,123.0,294595,0.0,0,0.47,0.5,6,0,1,0,0.0868,New,0.0,1,1,Upper Middle,294595,1500,5,1,Credit Card,0,Social Media,7,358340,90732,678,1,0,6,1133.44,188.90666666666667,0.0,0.16666666666666666,0.16666666666666666,1.0,1133.44,-1.990112037574808,new,0.0,123.0,338.35,0.8106,0.0868,5,795.09,1794.8318813447975,795.09,1794.8318813447975,0
500003,CUST000003,2021,2021-04-01,2021-10-31,Home,CA,C,95814,37.99,Y,Standard,Masonry,Metal,1810,2,9,1,52,0,B,Independent,3283.64,3216.81,229.85,394.04,219.76,830401,0.0,0,0.972,1.0,12,0,0,0,0.091,New,0.0,0,1,Upper Middle,830401,5000,4,0,Credit Card,1,Agent Referral,2,863102,124407,721,1,1,12,3283.64,273.63666666666666,0.0,0.0,0.0,1.0,3283.64,-0.02403501684009468,new,0.0,219.76,843.65,0.6222000000000001,0.091,5,2439.99,3043.030212353907,2439.99,3043.030212353907,0
500004,CUST000004,2021,2021-12-23,2022-10-31,Home,CA,A,92101,57.69,Y,Standard,Frame,Metal,2071,2,45,1,45,0,B,Independent,4596.83,4276.93,321.78,551.62,278.86,848992,21964.62,1,0.949,1.0,12,0,0,0,0.0583,New,21504.62,1,1,Upper Middle,848992,500,4,2,Bank Transfer,2,Agent Referral,3,855440,116414,695,1,2,12,4596.83,383.06916666666666,0.08333333333333333,0.16666666666666666,0.08333333333333333,1.0,4596.83,-1.4409753910375338,new,816.305808,278.86,1152.26,0.775,0.0583,5,2628.2641919999996,5675.7025032254705,2628.2641919999996,5675.7025032254705,1
500005,CUST000005,2021,2021-03-01,2021-09-30,Rental,CA,A,90001,45.79,Y,Basic,Masonry,Tile,1232,1,48,1,47,0,D,Broker,2967.94,3149.77,207.76,445.19,205.56,414208,0.0,0,1.036,1.0,12,0,0,1,0.0674,New,0.0,1,1,Middle,414208,1000,4,0,Auto Debit,6,Email Campaign,5,507579,50511,597,1,6,12,2967.94,247.32833333333335,0.0,0.0,0.08333333333333333,1.0,2967.94,-0.20771305850651633,new,0.0,205.56,858.51,0.7874,0.0674,5,2109.4300000000003,4636.201853195845,2109.4300000000003,4636.201853195845,0
500006,CUST000006,2021,2021-10-22,2022-04-30,Home,CA,B,94105,46.2,N,Basic,Frame,Tile,2175,3,30,1,48,1,B,Independent,2700.97,2644.94,189.07,324.12,193.54,529696,0.0,0,0.987,1.0,12,0,0,0,0.0936,New,0.0,0,1,Middle,529696,2500,4,0,Bank Transfer,3,Online Search,11,794225,75743,700,1,3,12,2700.97,225.08083333333332,0.0,0.0,0.0,1.0,2700.97,-0.8059081389435229,new,0.0,193.54,706.73,0.6140000000000001,0.0936,5,1994.2399999999998,2410.658157491946,1994.2399999999998,2410.658157491946,0
500007,CUST000007,2021,2021-10-14,2021-10-31,Home,FL,B,33601,39.28,Y,Premium,Masonry,Tile,1907,1,24,1,40,2,C,Independent,3708.83,3670.44,315.25,445.06,238.9,508000,0.0,0,0.998,1.0,12,0,0,0,0.07,New,0.0,1,1,Upper Middle,508000,1500,5,0,Auto Debit,1,Agent Referral,11,462050,95247,677,1,1,12,3708.83,309.06916666666666,0.0,0.0,0.08333333333333333,1.0,3708.83,1.746969746752054,new,0.0,238.9,999.2099999999999,0.8283999999999999,0.07,5,2709.62,6706.524996009419,2709.62,6706.524996009419,1
500008,CUST000008,2021,2021-08-07,2021-08-31,Rental,CA,A,90001,54.77,Y,Standard,Mixed,Tile,1290,2,30,1,39,0,C,Direct,3015.97,2740.95,211.12,90.48,207.72,492194,0.0,0,0.455,0.5,6,1,0,0,0.0604,New,0.0,1,1,Middle,492194,1000,5,0,Auto Debit,0,Online Search,10,521377,58937,645,1,0,6,3015.97,502.66166666666663,0.0,0.0,0.16666666666666666,1.0,3015.97,0.8068965391630656,new,0.0,207.72,509.32000000000005,0.824,0.0604,5,2506.6499999999996,6261.734919806354,2506.6499999999996,6261.734919806354,1
500009,CUST000009,2021,2021-10-02,2022-07-31,Home,NY,B,11201,37.18,N,Basic,Masonry,Shingle,2308,2,34,0,54,0,A,Independent,2809.53,2771.74,196.67,337.14,198.43,765613,0.0,0,0.497,0.5,6,0,1,0,0.0951,New,0.0,1,1,Upper Middle,765613,500,4,1,Auto Debit,1,Social Media,6,1139651,112063,737,1,1,6,2809.53,468.25500000000005,0.0,0.16666666666666666,0.16666666666666666,1.0,2809.53,-2.3810485986265224,new,0.0,198.43,732.24,0.8054,0.0951,5,2077.29,4532.458085502754,2077.29,4532.458085502754,0
500010,CUST000010,2021,2021-10-26,2022-07-31,Rental,FL,B,33101,66.58,Y,Standard,Frame,Shingle,1970,2,33,0,42,0,C,Broker,4273.83,4388.01,363.28,641.07,264.32,462805,0.0,0,1.048,1.0,12,0,0,0,0.0786,New,0.0,1,1,Middle,462805,2000,5,0,Credit Card,4,Email Campaign,8,461611,84936,635,1,4,12,4273.83,356.1525,0.0,0.0,0.08333333333333333,1.0,4273.83,0.5741600635969119,new,0.0,264.32,1268.67,0.814,0.0786,5,3005.16,6981.703166344272,3005.16,6981.703166344272,1
